ID,VIPµÈ¼¶
19923399,10
2170768,11
6825531,10
369227,13
20570950,12
4749172,11
13178849,10
8296733,10
16128797,13
1095644,10
4543567,10
6124872,10
392276,10
4438047,10
4571558,12
12409118,12
19855462,10
16008713,11
9800059,10
11006133,10
15338561,11
2217704,10
7236597,10
3622607,11
22082561,11
14775447,10
2622886,10
9644455,13
4254824,10
12063435,10
5317349,10
7356158,10
8625180,11
1971854,10
14302939,12
13710852,11
1219963,13
7503129,10
2771269,11
9869746,13
13454011,12
14465391,10
11749049,10
5865184,10
20552354,10
8235255,10
7792167,12
1548296,10
2765431,10
247602,10
3784749,13
5346356,12
12211426,11
7229367,10
7241807,10
14929229,10
9839993,10
2577850,10
8870226,10
13052908,10
13081461,10
15704486,10
4084931,10
7004503,11
309860,10
21696,14
15699132,10
21155036,10
22520746,10
12040132,10
2697767,11
1938720,11
6357392,10
13521668,10
1780341,10
11931428,10
7124733,10
11080156,10
17948537,10
10516313,10
2211042,17
3521746,10
4210260,10
11384510,10
6410092,15
414801,10
18364739,10
19701439,10
290325,10
10860047,10
17881578,10
14232402,11
9077991,10
10444775,10
772372,11
12331781,10
1270421,10
6888748,10
10953079,10
10608536,11
229616,10
1670262,10
5682764,10
3332429,10
2025196,10
836716,10
7272369,10
88381,10
4651753,10
12073833,10
6735219,10
11184602,11
20775917,10
6241719,11
809986,10
6448768,10
5552475,13
723968,10
4134227,10
3617210,10
940029,10
3391660,12
5521780,10
1879797,10
1246526,13
5855775,12
936000,10
4139167,10
19689528,12
4517977,10
7145739,10
1401959,10
1106915,10
16234499,10
1399132,10
5039563,10
247697,10
12360528,10
7201156,10
2235219,11
6262934,12
342558,10
2261260,11
2726170,10
1349958,11
3902969,11
11261545,13
5903469,10
8201072,11
7194206,10
1089805,10
396603,10
9876343,10
10032668,12
20995247,10
4536840,14
11117923,10
2495422,10
5131984,11
9849656,10
15178314,10
9291830,10
7480275,10
14251693,10
6782394,10
20540390,10
11888750,10
10111611,12
1821417,10
4298576,10
2165921,10
7172212,10
2313653,10
7104937,12
6465918,10
7102876,12
19235002,10
3996044,10
10350651,11
3110435,10
5696066,10
8547511,10
10526489,10
315093,10
375752,10
7900078,10
3558550,13
754067,10
391414,10
2200234,10
6961348,13
6538973,10
8311120,10
20174811,10
129850,10
5818997,10
3004273,10
2175110,11
12285119,10
11536229,10
842306,11
14141267,12
20217658,10
4713062,10
7780093,13
8339860,10
11109604,10
3856732,10
7076682,11
20075504,11
3331452,13
15472933,10
9149756,11
3480433,11
1715398,11
892519,11
9016513,15
4046838,10
10215190,10
8412927,10
393368,10
2928885,10
13113541,10
16779572,12
3194169,10
9091865,10
18369242,10
21181272,10
6533603,10
1700517,11
5199076,10
1826145,11
14297375,10
360335,10
13082824,10
6155746,11
7685936,11
12206078,12
3335656,11
7900380,12
7482031,10
6168746,10
10433451,10
4325937,10
216360,10
184586,10
3335428,10
8423034,13
4688033,10
5158652,10
807486,10
5783813,10
3754480,13
106865,10
15692364,10
2819849,10
10672592,13
157169,12
20072776,10
447363,10
6586566,10
6380629,10
18646577,11
110479,10
304608,10
11639670,10
3672620,12
7568911,11
3562607,11
4544621,12
15771380,13
3143493,13
5850550,13
8801415,10
987302,10
13855031,10
506897,12
8076111,12
5191640,10
12136413,10
11610903,10
4031146,12
21208886,11
4292035,10
397807,12
17424143,10
686643,10
6479698,12
6539497,10
3804402,10
9190484,10
13029406,11
8099402,10
1406971,12
12968048,10
17508565,10
3351988,11
18531922,10
5030057,10
4057345,10
731736,10
379406,10
2797228,10
