等级,玩家发送信息总量,3分钟内响应总量,3分钟内响应率,平均响应时长
3,77,57,0.7402597402597403,1169.3116883116884
7,1,0,0.0,980.0
9,11,3,0.2727272727272727,619.5454545454545
10,7910,3898,0.4927939317319848,960.2398230088496
11,3400,1711,0.5032352941176471,1357.834411764706
12,3607,1810,0.5018020515663987,1032.9661768782921
13,2716,1340,0.49337260677466865,1248.8276877761414
14,526,442,0.8403041825095057,936.2813688212927
15,96,84,0.875,359.9375
16,118,100,0.847457627118644,103.38983050847457
17,18,15,0.8333333333333334,162.22222222222223
18,51,9,0.17647058823529413,377.70588235294116
