等级,玩家发送信息总量,3分钟内响应总量,3分钟内响应率,平均响应时长
3,77,57,0.7402597402597403,1169.3116883116884
7,1,0,0.0,980.0
9,11,3,0.2727272727272727,619.5454545454545
10,7910,3741,0.4729456384323641,1116.126801517067
11,3400,1630,0.47941176470588237,1671.205
12,3607,1736,0.48128638757970615,1254.116717493762
13,2716,1304,0.4801178203240059,1429.6601620029455
14,526,426,0.8098859315589354,1647.2718631178707
15,96,84,0.875,359.9375
16,118,96,0.8135593220338984,282.76271186440675
17,18,15,0.8333333333333334,162.22222222222223
18,51,8,0.1568627450980392,548.9411764705883
