客服ID,玩家ID,玩家VIP等级,接收玩家消息时间,玩家消息内容,回复玩家消息时间,回复玩家内容,回复间隔
N1834,2162695,16,2016-05-25 13:29:15,网页版怎么登录,2016-05-25 13:30:18,在http://dhxy.163.com/web/   ，下载插件后就可以登录了,1.05
N1834,2162695,16,2016-05-25 14:02:00,没有桌面快捷方式吗,2016-05-25 14:03:12,这个暂时没有哦，你可以收藏在标签内～,1.2
N1834,2162695,16,2016-05-25 14:07:05,好的,2016-05-25 14:08:35,#56,1.5
N2039,4980768,10,2016-05-25 19:36:47,小德？,2016-05-25 19:48:05,对啦，最近还新出了网页版，有去试过嘛～,11.3
N3339,14625456,10,2016-05-25 14:55:32,#24,2016-05-25 14:56:13,哈哈～怎么可能呢～今天不是有更新么～到时候出来就给你发呢～,0.6833333333333333
N3339,14625456,10,2016-05-25 14:55:43,几天没充钱 不给我主动发信息了是不是#24,2016-05-25 14:56:13,哈哈～怎么可能呢～今天不是有更新么～到时候出来就给你发呢～,0.5
N3339,14625456,10,2016-05-25 14:56:42,记得发哈#99,2016-05-25 14:58:44,放心啦= =～不会离开你的～#163#163#163,2.033333333333333
N3339,14625456,10,2016-05-25 14:58:49,嗯嗯,2016-05-25 18:31:17,【栋栋更新】来咯～测试服有“51活动”和个人PK“独步天下“，全服有八卦”炼狱难度“，还有大家最爱的“大话手游网页版”完善推出了～有尝试过了吧～？#163,212.46666666666667
N3339,14625456,10,2016-05-25 18:37:31,网页版 我在用,2016-05-25 18:43:39,哟～有好一些咩～,6.133333333333334
N3339,14625456,10,2016-05-25 18:43:57,网页版不错。,2016-05-25 18:49:42,哈哈～那就放心了～～有啥建议也可以随时提出哦～～#178,5.75
G6963,1166419,13,2016-05-25 12:04:42,嗯嗯,2016-05-25 12:08:21,因为服务器异常，也希望能让你顺畅的比赛，不要因为网络等等原因影响您发挥，所以天下第一比武大会本周暂停，会延迟到下周进行，昨天晚上也已经申请了丰厚的奖励哦～,3.65
G6963,1166419,13,2016-05-25 16:19:07,在吗??,2016-05-25 16:22:24,我看看哈～,3.283333333333333
G6963,1166419,13,2016-05-25 16:19:15,为什么说我非法交易,2016-05-25 16:22:24,我看看哈～,3.15
G6963,1166419,13,2016-05-25 16:23:28,对啊,2016-05-25 16:24:30,是看到你天龙女价值偏高哦～返还给你物品啦,1.0333333333333334
G6963,1166419,13,2016-05-25 16:23:53,我宝宝没卖出去,2016-05-25 16:24:30,是看到你天龙女价值偏高哦～返还给你物品啦,0.6166666666666667
G6963,1166419,13,2016-05-25 16:24:08,扣了我的银两,2016-05-25 16:24:30,是看到你天龙女价值偏高哦～返还给你物品啦,0.36666666666666664
G6963,1166419,13,2016-05-25 16:24:14,身上钱都没了,2016-05-25 16:24:30,是看到你天龙女价值偏高哦～返还给你物品啦,0.26666666666666666
G6963,1166419,13,2016-05-25 16:24:43,天龙女我合出来成本就3亿,2016-05-25 16:24:46,扣除银两是因为你非珍品的那笔交易呢,0.05
G6963,1166419,13,2016-05-25 16:25:07,我卖3亿3不行吗？,2016-05-25 16:27:57,这个其实跟合出的成本只有一定的关系，还是看服务器的供求关系的呢～主要是看您宝宝的属性的一个具体价值呢,2.8333333333333335
G6963,1166419,13,2016-05-25 16:25:15,我还有个铁扇呢。。,2016-05-25 16:27:57,这个其实跟合出的成本只有一定的关系，还是看服务器的供求关系的呢～主要是看您宝宝的属性的一个具体价值呢,2.7
G6963,1166419,13,2016-05-25 16:25:24,那个花钱更多，初值也好,2016-05-25 16:27:57,这个其实跟合出的成本只有一定的关系，还是看服务器的供求关系的呢～主要是看您宝宝的属性的一个具体价值呢,2.55
G6963,1166419,13,2016-05-25 16:25:32,我也卖的3亿3,2016-05-25 16:27:57,这个其实跟合出的成本只有一定的关系，还是看服务器的供求关系的呢～主要是看您宝宝的属性的一个具体价值呢,2.4166666666666665
G6963,1166419,13,2016-05-25 16:25:54,那你说我卖多少合适?给个建议,2016-05-25 16:27:57,这个其实跟合出的成本只有一定的关系，还是看服务器的供求关系的呢～主要是看您宝宝的属性的一个具体价值呢,2.05
G6963,1166419,13,2016-05-25 16:26:08,我总不能亏吧,2016-05-25 16:27:57,这个其实跟合出的成本只有一定的关系，还是看服务器的供求关系的呢～主要是看您宝宝的属性的一个具体价值呢,1.8166666666666667
G6963,1166419,13,2016-05-25 16:29:37,我们计算一下,2016-05-25 16:34:11,主要还是根据服务器的一个交易价格判断的哦哦～那如果是按成本计算的话，200怀得来的神兵也不会免费啊,4.566666666666666
G6963,1166419,13,2016-05-25 16:30:24,五行书价值1.2亿，开格子1亿，神兽丹，技能书,2016-05-25 16:34:11,主要还是根据服务器的一个交易价格判断的哦哦～那如果是按成本计算的话，200怀得来的神兵也不会免费啊,3.783333333333333
G6963,1166419,13,2016-05-25 16:30:32,是不是得3个亿。。,2016-05-25 16:34:11,主要还是根据服务器的一个交易价格判断的哦哦～那如果是按成本计算的话，200怀得来的神兵也不会免费啊,3.65
G6963,1166419,13,2016-05-25 16:40:24,#15,2016-05-25 16:41:25,这个应该是您是不是有出售大量的非珍品啊～,1.0166666666666666
G6963,1166419,13,2016-05-25 16:40:34,我被扣了4000万呢,2016-05-25 16:41:25,这个应该是您是不是有出售大量的非珍品啊～,0.85
G6963,1166419,13,2016-05-25 16:43:30,没有啊,2016-05-25 16:48:25,还有一个宝宝不是珍品吧,4.916666666666667
G6963,1166419,13,2016-05-25 16:43:42,我就昨天卖了两个宝宝,2016-05-25 16:48:25,还有一个宝宝不是珍品吧,4.716666666666667
G6963,1166419,13,2016-05-25 16:43:45,没其他的,2016-05-25 16:48:25,还有一个宝宝不是珍品吧,4.666666666666667
G6963,1166419,13,2016-05-25 16:48:09,铁扇我不卖了，你给我还原交易吧。,2016-05-25 16:48:25,还有一个宝宝不是珍品吧,0.26666666666666666
G6963,1166419,13,2016-05-25 16:48:18,我怕再扣钱,2016-05-25 16:48:25,还有一个宝宝不是珍品吧,0.11666666666666667
G6963,1166419,13,2016-05-25 16:48:26,真的是怕了,2016-05-25 16:52:31,不会啊～非珍品的宝宝也不会出售的，～有卖什么道具吗,4.083333333333333
G6963,1166419,13,2016-05-25 16:49:07,是啊，我都不知道怎么看珍品不珍品,2016-05-25 16:52:31,不会啊～非珍品的宝宝也不会出售的，～有卖什么道具吗,3.4
G6963,1166419,13,2016-05-25 16:51:26,怎么办，你帮我想想办法，降低我的损失,2016-05-25 16:52:31,不会啊～非珍品的宝宝也不会出售的，～有卖什么道具吗,1.0833333333333333
G6963,1166419,13,2016-05-25 16:56:49,[天龙女],2016-05-25 17:01:52,这样吧～我帮你查下申请下好吧～,5.05
G6963,1166419,13,2016-05-25 16:57:02,我卖的天龙女啊,2016-05-25 17:01:52,这样吧～我帮你查下申请下好吧～,4.833333333333333
G6963,1166419,13,2016-05-25 16:57:43,五行珠？,2016-05-25 17:01:52,这样吧～我帮你查下申请下好吧～,4.15
G6963,1166419,13,2016-05-25 17:02:25,恩恩，谢谢,2016-05-25 18:36:05,#R更新消息邀请你～更新以后会放出新的地图——蟠桃园哦～3转炼狱难度八卦降魔战斗迭代啦～快来体验吧～,93.66666666666667
N2631,15040547,12,2016-05-25 19:34:29,家里穷，买不起,2016-05-25 19:45:56,亲爱的,11.45
N2631,15040547,12,2016-05-25 19:46:51,黑户，没有身份证,未回复,未回复,未回复
N2631,15040547,12,2016-05-25 19:47:13,好不容易再山区里长大,未回复,未回复,未回复
N2631,15040547,12,2016-05-25 19:48:01,家穷人丑，一米四九，小学文化，没有户口,未回复,未回复,未回复
N3746,18579465,13,2016-05-24 18:39:00,#93,2016-05-24 18:39:15,#44,0.25
N3746,18579465,13,2016-05-25 19:25:17,疯了吧，我才2转117级,2016-05-25 19:29:48,#2哥哥别担心，梦梦觉得不会遥远的,4.516666666666667
N1834,3801149,11,2016-05-24 11:56:06,坑人啊，,2016-05-24 12:28:50,大话手游也可以在电脑网页上登录哦（数据是互通的），不是一个新的游戏哦，如果手机不方便上，电脑也可以呢！#47,32.733333333333334
